benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
nqueens,js,browserify,firefox57,5.6116,0.1166,5.372,5.842,30,3,3
nqueens,c,wasm,microsoft-edge,4.6108,0.0777,4.531,4.742,10,7,2
nqueens,js,browserify,microsoft-edge,5.7127,0.0628,5.577,5.876,30,7,3
nw,c,wasm,node,0.1375,0.001,0.136,0.139,10,1,2
nw,js,browserify,node,0.2824,0.0021,0.279,0.286,10,1,3
nw,c,wasm,chrome63,0.1437,0.0011,0.143,0.146,10,2,2
nw,js,browserify,chrome63,0.2477,0.0026,0.2445,0.253,10,2,3
nw,c,wasm,firefox57,0.1404,0.0013,0.139,0.143,10,3,2
nw,js,browserify,firefox57,0.187,0.0028,0.1834,0.1918,10,3,3
nw,c,wasm,microsoft-edge,0.116,0.0026,0.113,0.121,10,7,2
nw,js,browserify,microsoft-edge,0.772,0.0114,0.7538,0.7875,10,7,3
pagerank,c,wasm,node,0.7157,0.0064,0.703,0.719,30,1,2
pagerank,js,browserify,node,0.8627,0.0069,0.859,0.875,30,1,3
pagerank,c,wasm,chrome63,0.7498,0.0039,0.743,0.763,30,2,2
pagerank,js,browserify,chrome63,0.8979,0.0033,0.8925,0.9059,30,2,3
pagerank,c,wasm,firefox57,0.7074,0.0173,0.686,0.766,30,3,2
pagerank,js,browserify,firefox57,0.804,0.025,0.7883,0.9147,30,3,3
pagerank,c,wasm,microsoft-edge,0.7142,0.0054,0.706,0.726,10,7,2
pagerank,js,browserify,microsoft-edge,0.7507,0.0168,0.7322,0.8096,30,7,3
spmv,c,wasm,node,0.9079,0.0112,0.89,0.938,30,1,2
spmv,js,browserify,node,1.9709,0.0532,1.906,2.156,30,1,3
spmv,c,wasm,chrome63,1.0561,0.0532,1.003,1.281,30,2,2
spmv,js,browserify,chrome63,1.9365,0.0984,1.8871,2.3673,30,2,3
spmv,c,wasm,firefox57,0.959,0.0261,0.927,1.029,30,3,2
spmv,js,browserify,firefox57,1.3776,0.0246,1.3571,1.473,30,3,3
spmv,c,wasm,microsoft-edge,1.0425,0.1439,0.966,1.44,10,7,2
spmv,js,browserify,microsoft-edge,2.3218,0.0726,2.2701,2.6334,30,7,3
srad,c,wasm,node,3.5789,0.0172,3.547,3.625,30,1,2
srad,js,browserify,node,6.6252,0.0648,6.515,6.75,30,1,3
srad,c,wasm,chrome63,3.7429,0.0453,3.689,3.913,30,2,2
srad,js,browserify,chrome63,7.6214,0.046,7.533,7.7217,30,2,3
srad,c,wasm,firefox57,3.4799,0.0049,3.472,3.492,30,3,2
srad,js,browserify,firefox57,7.3764,0.4099,5.8677,7.5471,30,3,3
srad,c,wasm,microsoft-edge,3.4286,0.0117,3.451,3.409,10,7,2
srad,js,browserify,microsoft-edge,15.9899,0.3612,15.6939,17.4402,30,7,3
