benchmark,implementation,compiler,platform,environment,input-size,mean(s),std(s),min(s),max(s),repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39
crc,js,browserify,samsung-tab-s3,samsung-internet-samsung8,medium,5.4615,0.1399,5.3200,5.6330,10,5.3600,5.3200,5.3620,5.3600,5.3620,5.3580,5.6190,5.6330,5.6120,5.6290
spmv,js,browserify,samsung-tab-s3,firefox-samsung8,medium,6.2681,0.2301,5.7161,6.5394,10,5.7161,6.0589,6.5394,6.3118,6.3768,6.3097,6.3092,6.3226,6.2847,6.4523
spmv,c,wasm,samsung-tab-s3,firefox-samsung8,medium,3.4940,0.0574,3.4560,3.6470,10,3.4660,3.4960,3.6470,3.4560,3.5230,3.4670,3.4580,3.4790,3.4650,3.4830
fft,js,browserify,samsung-tab-s3,samsung-internet-samsung8,medium,11.5877,0.7951,10.4291,12.5791,10,10.9732,10.5215,11.6609,12.1460,12.0442,12.0672,12.4546,12.5791,10.4291,11.0015
lavamd,js,browserify,samsung-tab-s3,samsung-internet-samsung8,medium,77.8506,9.8676,62.3044,92.1702,10,83.8227,78.8047,65.1092,79.1641,88.4614,68.0639,62.3044,82.3712,92.1702,78.2340
nqueens,js,browserify,samsung-tab-s3,samsung-internet-samsung8,medium,11.2575,0.8097,10.0840,12.9480,10,11.7400,11.1190,10.9880,10.0840,10.3530,10.9340,11.1250,11.4130,11.8710,12.9480
hmm,js,browserify,samsung-tab-s3,samsung-internet-samsung8,medium,30.2613,1.6025,28.0967,32.9484,10,30.2584,29.7349,29.5142,29.1629,29.0128,30.0644,28.0967,30.8783,32.9484,32.9419
nw,js,browserify,samsung-tab-s3,samsung-internet-samsung8,medium,0.7620,0.1362,0.5718,0.9137,10,0.8644,0.5718,0.9102,0.9114,0.6291,0.9137,0.6326,0.7842,0.6282,0.7745
backprop,js,browserify,samsung-tab-s3,samsung-internet-samsung8,medium,1.2582,0.0305,1.2251,1.2957,10,1.2251,1.2288,1.2275,1.2829,1.2257,1.2443,1.2739,1.2828,1.2952,1.2957
pagerank,js,browserify,samsung-tab-s3,samsung-internet-samsung8,medium,2.7284,0.3249,2.0429,3.0552,10,2.9629,2.9788,2.9364,3.0552,2.0429,2.7331,2.7635,2.2738,2.7456,2.7912
srad,js,browserify,samsung-tab-s3,samsung-internet-samsung8,medium,30.0305,4.3233,24.4734,35.7192,10,35.7192,34.6882,31.4024,30.7378,31.9378,33.9209,24.4734,24.5620,24.6542,28.2088
spmv,js,browserify,samsung-tab-s3,samsung-internet-samsung8,medium,11.7258,0.7293,10.8606,13.4477,10,13.4477,11.8323,12.0209,11.9911,11.7901,11.2329,11.0298,10.8606,11.3100,11.7431
